,Unnamed: 0.1,group,image_path,x1,y1,w,h,blur,expression,illumination,invalid,occlusion,pose,width,height,aspect,area,num_faces
0,0,0--Parade,0--Parade/0_Parade_marchingband_1_808.jpg,543,68,71,111,0,0,0,0,0,0,1024,731,wider,0.01052843920998632,1
2,2,0--Parade,0--Parade/0_Parade_marchingband_1_1038.jpg,332,128,210,296,0,0,0,0,0,0,1024,768,wider,0.07904052734375,2
3,3,0--Parade,0--Parade/0_Parade_marchingband_1_1038.jpg,542,232,184,266,0,0,0,0,0,0,1024,768,wider,0.06223551432291665,2
4,4,0--Parade,0--Parade/0_Parade_Parade_0_336.jpg,431,112,175,211,0,0,0,0,1,0,1024,683,wider,0.05279585697291362,2
5,5,0--Parade,0--Parade/0_Parade_Parade_0_336.jpg,889,40,79,101,1,0,0,0,1,0,1024,683,wider,0.011408480508784772,2
6,6,0--Parade,0--Parade/0_Parade_Parade_0_897.jpg,676,214,88,104,0,0,0,0,0,0,1024,768,wider,0.011637369791666666,1
12,12,0--Parade,0--Parade/0_Parade_Parade_0_702.jpg,860,0,96,111,1,0,0,0,0,0,1024,685,wider,0.01519160583941606,1
14,14,0--Parade,0--Parade/0_Parade_marchingband_1_847.jpg,308,283,80,102,1,0,0,0,1,0,1024,672,wider,0.011858258928571428,2
15,15,0--Parade,0--Parade/0_Parade_marchingband_1_847.jpg,402,218,73,104,1,0,0,0,0,0,1024,672,wider,0.011032831101190476,2
17,17,0--Parade,0--Parade/0_Parade_Parade_0_371.jpg,188,140,122,174,1,0,0,0,0,0,1024,672,wider,0.030848911830357144,5
18,18,0--Parade,0--Parade/0_Parade_Parade_0_371.jpg,316,114,78,126,1,0,0,0,0,0,1024,672,wider,0.0142822265625,5
19,19,0--Parade,0--Parade/0_Parade_Parade_0_371.jpg,424,92,96,152,1,0,0,0,0,0,1024,672,wider,0.021205357142857144,5
20,20,0--Parade,0--Parade/0_Parade_Parade_0_371.jpg,576,128,74,124,1,0,0,0,0,0,1024,672,wider,0.013334728422619048,5
21,21,0--Parade,0--Parade/0_Parade_Parade_0_371.jpg,700,120,126,176,1,0,0,0,0,0,1024,672,wider,0.0322265625,5
28,28,0--Parade,0--Parade/0_Parade_Parade_0_632.jpg,442,164,116,146,0,0,0,0,0,0,1024,700,wider,0.023627232142857144,1
29,29,0--Parade,0--Parade/0_Parade_Parade_0_811.jpg,564,122,124,144,0,0,0,0,0,0,1024,732,wider,0.02382172131147541,2
30,30,0--Parade,0--Parade/0_Parade_Parade_0_811.jpg,368,260,106,136,0,0,0,0,1,0,1024,732,wider,0.0192324112021858,2
36,36,0--Parade,0--Parade/0_Parade_Parade_0_207.jpg,719,145,80,91,1,0,1,0,0,0,1024,703,wider,0.010112908961593172,1
38,38,0--Parade,0--Parade/0_Parade_Parade_0_950.jpg,404,94,132,180,0,0,0,0,0,0,1024,1009,wider,0.02299615956392468,1
41,41,0--Parade,0--Parade/0_Parade_marchingband_1_446.jpg,628,69,151,182,0,0,0,0,0,0,1024,678,wider,0.03958390947640118,3
42,42,0--Parade,0--Parade/0_Parade_marchingband_1_446.jpg,414,171,129,174,0,0,0,0,0,0,1024,678,wider,0.03233026825221238,3
43,43,0--Parade,0--Parade/0_Parade_marchingband_1_446.jpg,206,120,126,182,0,0,0,0,0,0,1024,678,wider,0.03303028207964602,3
46,46,0--Parade,0--Parade/0_Parade_Parade_0_3.jpg,336,154,80,95,0,0,0,0,0,0,1024,413,wider,0.017970641646489104,5
47,47,0--Parade,0--Parade/0_Parade_Parade_0_3.jpg,552,115,59,75,0,0,0,0,0,0,1024,413,wider,0.010463169642857142,5
48,48,0--Parade,0--Parade/0_Parade_Parade_0_3.jpg,607,105,84,107,0,0,0,0,0,0,1024,413,wider,0.021252648305084745,5
49,49,0--Parade,0--Parade/0_Parade_Parade_0_3.jpg,641,24,81,109,0,0,0,0,1,0,1024,413,wider,0.020876683565375302,5
50,50,0--Parade,0--Parade/0_Parade_Parade_0_3.jpg,770,64,90,104,0,0,0,0,0,0,1024,413,wider,0.02213226392251816,5
53,53,0--Parade,0--Parade/0_Parade_Parade_0_491.jpg,112,94,80,106,0,0,0,0,0,0,1024,768,wider,0.010782877604166666,5
54,54,0--Parade,0--Parade/0_Parade_Parade_0_491.jpg,338,150,88,122,0,0,0,0,0,0,1024,768,wider,0.013651529947916666,5
55,55,0--Parade,0--Parade/0_Parade_Parade_0_491.jpg,530,166,78,114,0,0,0,0,0,0,1024,768,wider,0.0113067626953125,5
56,56,0--Parade,0--Parade/0_Parade_Parade_0_491.jpg,666,132,90,132,0,0,0,0,0,0,1024,768,wider,0.015106201171875,5
57,57,0--Parade,0--Parade/0_Parade_Parade_0_491.jpg,814,172,74,110,0,0,0,0,0,0,1024,768,wider,0.010350545247395834,5
59,59,0--Parade,0--Parade/0_Parade_marchingband_1_895.jpg,168,268,104,140,0,0,0,0,0,0,1024,681,wider,0.02087922173274596,4
60,60,0--Parade,0--Parade/0_Parade_marchingband_1_895.jpg,318,200,92,118,0,0,0,0,0,0,1024,681,wider,0.015567639500734212,4
61,61,0--Parade,0--Parade/0_Parade_marchingband_1_895.jpg,512,142,110,136,0,0,0,0,0,0,1024,681,wider,0.021452826725403808,4
62,62,0--Parade,0--Parade/0_Parade_marchingband_1_895.jpg,650,62,118,160,0,0,0,0,0,0,1024,681,wider,0.02707415565345081,4
63,63,0--Parade,0--Parade/0_Parade_marchingband_1_547.jpg,383,163,183,231,0,0,0,0,0,0,1024,809,wider,0.051028710213226205,1
67,67,0--Parade,0--Parade/0_Parade_marchingband_1_1015.jpg,282,92,166,228,0,0,0,0,0,0,1024,683,wider,0.05411557467057102,1
68,68,0--Parade,0--Parade/0_Parade_Parade_0_431.jpg,624,328,84,122,1,0,0,0,0,0,1024,919,wider,0.010889893906420022,2
69,69,0--Parade,0--Parade/0_Parade_Parade_0_431.jpg,766,432,84,114,0,0,0,0,0,0,1024,919,wider,0.01017580250272035,2
70,70,0--Parade,0--Parade/0_Parade_Parade_0_928.jpg,416,92,170,224,0,0,0,0,0,0,1024,967,wider,0.038456566701137535,1
78,78,0--Parade,0--Parade/0_Parade_Parade_0_673.jpg,947,297,77,108,0,0,0,0,0,0,1024,768,wider,0.0105743408203125,1
82,82,0--Parade,0--Parade/0_Parade_marchingband_1_887.jpg,330,182,182,226,0,0,0,0,0,0,1024,768,wider,0.05230204264322917,1
85,85,0--Parade,0--Parade/0_Parade_Parade_0_379.jpg,283,149,249,304,0,0,0,0,0,0,1024,768,wider,0.09625244140625,2
